age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
Unknown,75,28/04/2020,0.16,0,0,
0-17,1398,29/04/2020,2.86,0,0,22.49
18-49,23836,29/04/2020,48.73,131,6.93,43.52
50-64,12705,29/04/2020,25.97,292,15.45,18.42
65+,10906,29/04/2020,22.29,1467,77.62,15.57
Unknown,72,29/04/2020,0.15,0,0,
0-17,1449,30/04/2020,2.9,0,0,22.49
18-49,24613,30/04/2020,48.8,137,6.9,43.52
50-64,13044,30/04/2020,25.9,308,15.5,18.42
65+,11256,30/04/2020,22.3,1543,77.6,15.57
Unknown,80,30/04/2020,0.2,0,0,
0-17,1566,01/05/2020,3,0,0,22.49
18-49,25548,01/05/2020,48.95,139,6.67,43.52
50-64,13454,01/05/2020,25.78,322,15.46,18.42
65+,11547,01/05/2020,22.12,1622,77.87,15.57
Unknown,82,01/05/2020,0.16,0,0,
0-17,1640,02/05/2020,3.1,0,0,22.5
18-49,26256,02/05/2020,49,139,6.5,43.5
50-64,13773,02/05/2020,25.7,331,15.5,18.4
65+,11860,02/05/2020,22.1,1668,78,15.6
Unknown,87,02/05/2020,0.2,0,0,0
0-17,1715,03/05/2020,3.12,0,0,22.5
18-49,26956,03/05/2020,49.07,139,6.38,43.5
50-64,14078,03/05/2020,25.63,335,15.38,18.4
65+,12098,03/05/2020,22.02,1704,78.24,15.6
Unknown,90,03/05/2020,0.16,0,0,0
0-17,1773,04/05/2020,3.2,0,0,22.5
18-49,27556,04/05/2020,49,141,6.3,43.5
50-64,14366,04/05/2020,25.6,342,15.4,18.4
65+,12425,04/05/2020,22.1,1738,78.3,15.6
Unknown,92,04/05/2020,0.2,0,0,0
0-17,1937,05/05/2020,3.3,0,0,22.5
18-49,28968,05/05/2020,49.3,145,6.2,43.5
50-64,14974,05/05/2020,25.5,353,15.2,18.4
65+,12842,05/05/2020,21.8,1826,78.5,15.6
Unknown,94,05/05/2020,0.2,1,0,0
0-17,2055,06/05/2020,3.4,0,0,22.5
18-49,29902,06/05/2020,49.3,150,6.2,43.5
50-64,15375,06/05/2020,25.4,370,15.3,18.4
65+,13194,06/05/2020,21.8,1891,78.4,15.6
Unknown,88,06/05/2020,0.1,1,0,0
0-17,2181,07/05/2020,3.5,0,0,22.5
18-49,30860,07/05/2020,49.4,153,6.1,43.5
50-64,15793,07/05/2020,25.3,386,15.5,18.4
65+,13580,07/05/2020,21.7,1953,78.3,15.6
