age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
65+,47673,21/07/2020,11.5,5940,76.2,15.6
Missing,473,21/07/2020,0.1,0,0,0
0-17,37335,22/07/2020,8.8,0,0,22.5
18-49,256853,22/07/2020,60.3,526,6.6,43.5
50-64,82217,22/07/2020,19.3,1371,17.2,18.4
65+,48744,22/07/2020,11.5,6052,76.1,15.6
Missing,467,22/07/2020,0.1,0,0,0
0-17,38301,23/07/2020,8.8,0,0,22.5
18-49,262780,23/07/2020,60.4,547,6.8,43.5
50-64,84114,23/07/2020,19.3,1402,17.3,18.4
65+,49648,23/07/2020,11.4,6147,75.9,15.6
Missing,491,23/07/2020,0.1,0,0,0
0-17,39396,24/07/2020,8.8,0,0,22.5
18-49,268931,24/07/2020,60.4,567,6.9,43.5
50-64,86034,24/07/2020,19.3,1430,17.4,18.4
65+,50518,24/07/2020,11.3,6245,75.8,15.6
Missing,521,24/07/2020,0.1,0,0,0
0-17,40407,25/07/2020,8.9,0,0,22.5
18-49,274037,25/07/2020,60.4,580,6.9,43.5
50-64,87494,25/07/2020,19.3,1463,17.5,18.4
65+,51190,25/07/2020,11.3,6339,75.6,15.6
Missing,531,25/07/2020,0.1,0,0,0
0-17,41148,26/07/2020,8.9,0,0,22.5
18-49,278295,26/07/2020,60.4,585,7,43.5
50-64,88800,26/07/2020,19.3,1467,17.4,18.4
65+,51772,26/07/2020,11.2,6360,75.6,15.6
Missing,535,26/07/2020,0.1,0,0,0
0-17,41836,27/07/2020,9,0,0,22.5
18-49,282008,27/07/2020,60.4,589,7,43.5
50-64,89869,27/07/2020,19.3,1469,17.4,18.4
65+,52302,27/07/2020,11.2,6378,75.6,15.6
Missing,535,27/07/2020,0.1,0,0,0
0-17,42697,28/07/2020,9,0,0,22.5
18-49,287413,28/07/2020,60.5,606,7.1,43.5
50-64,91465,28/07/2020,19.2,1497,17.6,18.4
65+,53138,28/07/2020,11.2,6413,75.3,15.6
Missing,592,28/07/2020,0.1,0,0,0
0-17,43880,29/07/2020,9,0,0,22.5
18-49,293721,29/07/2020,60.5,626,7.2,43.5
50-64,93273,29/07/2020,19.2,1534,17.5,18.4
65+,54039,29/07/2020,11.1,6591,75.3,15.6
Missing,589,29/07/2020,0.1,0,0,0
0-17,44793,30/07/2020,9.1,0,0,22.5
18-49,298735,30/07/2020,60.5,637,7.1,43.5
50-64,94730,30/07/2020,19.2,1569,17.6,18.4
65+,54743,30/07/2020,11.1,6733,75.3,15.6
Missing,587,30/07/2020,0.1,0,0,0
0-17,45520,31/07/2020,9.1,0,0,22.5
18-49,302739,31/07/2020,60.5,649,7.1,43.5
50-64,95892,31/07/2020,19.2,1594,17.5,18.4
65+,55360,31/07/2020,11.1,6851,75.3,15.6
Missing,619,31/07/2020,0.1,1,0,0
0-17,46556,01/08/2020,9.1,0,0,22.5
18-49,308114,01/08/2020,60.5,666,7.2,43.5
50-64,97551,01/08/2020,19.2,1626,17.6,18.4
65+,56206,01/08/2020,11,6959,75.2,15.6
Missing,735,01/08/2020,0.1,1,0,0
0-17,47286,02/08/2020,9.2,1,0,22.5
18-49,311547,02/08/2020,60.5,674,7.2,43.5
50-64,98574,02/08/2020,19.1,1646,17.6,18.4
65+,56786,02/08/2020,11,7004,75.1,15.6
Missing,708,02/08/2020,0.1,1,0,0
0-17,47920,03/08/2020,9.2,1,0,22.5
18-49,314238,03/08/2020,60.5,676,7.2,43.5
50-64,99383,03/08/2020,19.1,1652,17.7,18.4
65+,57247,03/08/2020,11,7019,75.1,15.6
Missing,639,03/08/2020,0.1,1,0,0
0-17,48524,04/08/2020,9.2,1,0,22.5
18-49,317287,04/08/2020,60.5,690,7.2,43.5
50-64,100408,04/08/2020,19.1,1693,17.8,18.4
65+,57847,04/08/2020,11,7135,74.9,15.6
Missing,656,04/08/2020,0.1,1,0,0
0-17,49158,05/08/2020,9.3,1,0,22.5
18-49,320274,05/08/2020,60.4,699,7.2,43.5
50-64,101404,05/08/2020,19.1,1731,17.9,18.4
65+,58458,05/08/2020,11,7228,74.8,15.6
Missing,686,05/08/2020,0.1,1,0,0
0-17,50193,06/08/2020,9.3,1,0,22.5
18-49,325283,06/08/2020,60.4,714,7.3,43.5
50-64,102941,06/08/2020,19.1,1758,17.9,18.4
65+,59282,06/08/2020,11,7333,74.8,15.6
Missing,717,06/08/2020,0.1,1,0,0
0-17,51132,07/08/2020,9.4,1,0,22.5
18-49,329682,07/08/2020,60.4,729,7.3,43.5
50-64,104297,07/08/2020,19.1,1791,17.9,18.4
65+,59954,07/08/2020,11,7459,74.7,15.6
Missing,722,07/08/2020,0.1,2,0,0
0-17,52104,08/08/2020,9.4,1,0,22.5
18-49,334619,08/08/2020,60.4,745,7.3,43.5
50-64,105860,08/08/2020,19.1,1838,18.1,18.4
65+,60829,08/08/2020,11,7587,74.6,15.6
Missing,748,08/08/2020,0.1,2,0,0
0-17,53136,09/08/2020,9.5,1,0,22.5
18-49,339235,09/08/2020,60.4,750,7.3,43.5
50-64,107300,09/08/2020,19.1,1856,18.1,18.4
65+,61464,09/08/2020,10.9,7638,74.5,15.6
Missing,776,09/08/2020,0.1,2,0,0
0-17,54778,10/08/2020,9.5,1,0,22.5
18-49,346637,10/08/2020,60.3,750,7.3,43.5
50-64,109714,10/08/2020,19.1,1863,18.1,18.4
65+,62506,10/08/2020,10.9,7657,74.5,15.6
Missing,776,10/08/2020,0.1,1,0,0
0-17,56276,11/08/2020,9.6,1,0,22.5
18-49,353518,11/08/2020,60.3,763,7.3,43.5
50-64,111811,11/08/2020,19.1,1910,18.2,18.4
65+,63617,11/08/2020,10.9,7816,74.5,15.6
Missing,834,11/08/2020,0.1,1,0,0
0-17,57230,12/08/2020,9.6,1,0,22.5
18-49,357676,12/08/2020,60.3,769,7.2,43.5
50-64,113099,12/08/2020,19.1,1941,18.2,18.4
65+,64298,12/08/2020,10.8,7953,74.6,15.6
Missing,838,12/08/2020,0.1,2,0,0
0-17,58146,13/08/2020,9.7,1,0,22.5
18-49,362344,13/08/2020,60.3,783,7.2,43.5
50-64,114633,13/08/2020,19.1,1974,18.2,18.4
65+,65116,13/08/2020,10.8,8071,74.5,15.6
Missing,836,13/08/2020,0.1,2,0,0
0-17,59682,14/08/2020,9.7,1,0,22.5
18-49,369772,14/08/2020,60.3,789,7.2,43.5
50-64,116986,14/08/2020,19.1,2010,18.3,18.4
65+,66403,14/08/2020,10.8,8189,74.5,15.6
Missing,846,14/08/2020,0.1,5,0,0
0-17,60630,15/08/2020,9.8,1,0,22.5
18-49,374400,15/08/2020,60.2,801,7.2,43.5
50-64,118498,15/08/2020,19.1,2039,18.4,18.4
65+,67168,15/08/2020,10.8,8259,74.4,15.6
Missing,866,15/08/2020,0.1,4,0,0
0-17,61538,16/08/2020,9.8,1,0,22.5
18-49,378186,16/08/2020,60.2,800,7.2,43.5
50-64,119629,16/08/2020,19,2041,18.4,18.4
65+,67816,16/08/2020,10.8,8268,74.4,15.6
Missing,862,16/08/2020,0.1,4,0,0
0-17,62233,17/08/2020,9.8,1,0,22.5
18-49,380923,17/08/2020,60.2,805,7.2,43.5
50-64,120440,17/08/2020,19,2047,18.4,18.4
65+,68211,17/08/2020,10.8,8288,74.4,15.6
Missing,860,17/08/2020,0.1,4,0,0
0-17,63118,18/08/2020,9.9,1,0,22.5
18-49,384524,18/08/2020,60.2,812,7.2,43.5
50-64,121521,18/08/2020,19,2084,18.4,18.4
65+,68806,18/08/2020,10.8,8401,74.3,15.6
Missing,862,18/08/2020,0.1,3,0,0
0-17,63909,19/08/2020,9.9,1,0,22.5
18-49,388034,19/08/2020,60.2,833,7.3,43.5
50-64,122554,19/08/2020,19,2112,18.4,18.4
65+,69380,19/08/2020,10.8,8517,74.3,15.6
Missing,874,19/08/2020,0.1,3,0,0
0-17,64573,20/08/2020,9.9,2,0,22.5
18-49,391321,20/08/2020,60.2,842,7.3,43.5
50-64,123591,20/08/2020,19,2142,18.5,18.4
65+,69957,20/08/2020,10.8,8601,74.2,15.6
Missing,894,20/08/2020,0.1,3,0,0
0-17,65360,21/08/2020,9.9,2,0,22.5
18-49,395106,21/08/2020,60.1,847,7.2,43.5
50-64,124841,21/08/2020,19,2169,18.5,18.4
65+,70688,21/08/2020,10.8,8720,74.3,15.6
Missing,897,21/08/2020,0.1,3,0,0
0-17,66204,22/08/2020,10,2,0,22.5
18-49,399060,22/08/2020,60.1,866,7.2,43.5
50-64,126041,22/08/2020,19,2204,18.5,18.4
65+,71455,22/08/2020,10.8,8870,74.3,15.6
Missing,909,22/08/2020,0.1,3,0,0
0-17,66828,23/08/2020,10,2,0,22.5
18-49,401960,23/08/2020,60.1,868,7.3,43.5
50-64,126998,23/08/2020,19,2209,18.5,18.4
65+,71901,23/08/2020,10.8,8873,74.2,15.6
Missing,928,23/08/2020,0.1,3,0,0
0-17,67462,24/08/2020,10,2,0,22.5
18-49,404499,24/08/2020,60.1,871,7.3,43.5
50-64,127847,24/08/2020,19,2213,18.4,18.4
65+,72358,24/08/2020,10.8,8914,74.3,15.6
Missing,929,24/08/2020,0.1,3,0,0
0-17,68163,25/08/2020,10,3,0,22.5
18-49,408100,25/08/2020,60.1,877,7.2,43.5
50-64,128929,25/08/2020,19,2247,18.5,18.4
65+,72988,25/08/2020,10.7,9027,74.2,15.6
Missing,919,25/08/2020,0.1,4,0,0
0-17,68731,26/08/2020,10.1,3,0,22.5
18-49,410668,26/08/2020,60.1,888,7.2,43.5
50-64,129732,26/08/2020,19,2266,18.4,18.4
65+,73489,26/08/2020,10.8,9135,74.3,15.6
Missing,909,26/08/2020,0.1,4,0,0
0-17,69369,27/08/2020,10.1,4,0,22.5
18-49,413764,27/08/2020,60.1,901,7.2,43.5
50-64,130701,27/08/2020,19,2301,18.5,18.4
65+,74124,27/08/2020,10.8,9252,74.2,15.6
Missing,900,27/08/2020,0.1,3,0,0
0-17,69964,28/08/2020,10.1,3,0,22.5
18-49,416615,28/08/2020,60,907,7.2,43.5
50-64,131694,28/08/2020,19,2317,18.4,18.4
65+,74665,28/08/2020,10.8,9339,74.3,15.6
Missing,901,28/08/2020,0.1,3,0,0
0-17,70677,29/08/2020,10.1,3,0,22.5
18-49,420231,29/08/2020,60,922,7.2,43.5
50-64,132806,29/08/2020,19,2348,18.4,18.4
65+,75284,29/08/2020,10.8,9470,74.3,15.6
Missing,911,29/08/2020,0.1,2,0,0
0-17,71224,30/08/2020,10.1,3,0,22.5
18-49,422691,30/08/2020,60,920,7.2,43.5
50-64,133533,30/08/2020,19,2351,18.4,18.4
65+,75729,30/08/2020,10.8,9481,74.3,15.6
Missing,908,30/08/2020,0.1,2,0,0
0-17,71776,31/08/2020,10.1,3,0,22.5
18-49,424850,31/08/2020,60,924,7.2,43.5
50-64,134175,31/08/2020,19,2359,18.4,18.4
65+,76098,31/08/2020,10.8,9507,74.3,15.6
Missing,898,31/08/2020,0.1,2,0,0
0-17,72271,01/09/2020,10.1,3,0,22.5
18-49,427519,01/09/2020,60,932,7.2,43.5
50-64,134862,01/09/2020,18.9,2402,18.5,18.4
65+,76511,01/09/2020,10.7,9614,74.2,15.6
Missing,889,01/09/2020,0.1,2,0,0
0-17,72822,02/09/2020,10.2,3,0,22.5
18-49,430475,02/09/2020,60,943,7.2,43.5
50-64,135797,02/09/2020,18.9,2438,18.6,18.4
65+,77191,02/09/2020,10.8,9734,74.2,15.6
Missing,892,02/09/2020,0.1,2,0,0
0-17,73330,03/09/2020,10.2,3,0,22.5
18-49,433487,03/09/2020,60,963,7.2,43.5
50-64,136757,03/09/2020,18.9,2466,18.6,18.4
65+,77807,03/09/2020,10.8,9858,74.2,15.6
Missing,902,03/09/2020,0.1,2,0,0
0-17,73915,04/09/2020,10.2,3,0,22.5
18-49,436511,04/09/2020,60,978,7.3,43.5
50-64,137641,04/09/2020,18.9,2513,18.7,18.4
65+,78262,04/09/2020,10.8,9973,74,15.6
Missing,910,04/09/2020,0.1,2,0,0
0-17,74490,05/09/2020,10.2,3,0,22.5
18-49,439510,05/09/2020,60,986,7.3,43.5
50-64,138496,05/09/2020,18.9,2536,18.7,18.4
65+,78740,05/09/2020,10.8,10065,74.1,15.6
Missing,908,05/09/2020,0.1,2,0,0
0-17,74886,06/09/2020,10.2,3,0,22.5
18-49,441336,06/09/2020,60,983,7.2,43.5
50-64,139067,06/09/2020,18.9,2543,18.7,18.4
65+,79046,06/09/2020,10.8,10065,74,15.6
Missing,900,06/09/2020,0.1,2,0,0
0-17,75198,07/09/2020,10.2,3,0,22.5
18-49,442946,07/09/2020,60,986,7.2,43.5
50-64,139563,07/09/2020,18.9,2550,18.7,18.4
65+,79301,07/09/2020,10.7,10106,74.1,15.6
Missing,903,07/09/2020,0.1,2,0,0
0-17,75382,08/09/2020,10.2,3,0,22.5
18-49,443906,08/09/2020,60,990,7.2,43.5
50-64,139866,08/09/2020,18.9,2578,18.8,18.4
65+,79476,08/09/2020,10.7,10154,74,15.6
Missing,897,08/09/2020,0.1,2,0,0
0-17,75769,09/09/2020,10.2,3,0,22.5
18-49,445900,09/09/2020,60,1000,7.2,43.5
50-64,140488,09/09/2020,18.9,2616,18.9,18.4
65+,79803,09/09/2020,10.7,10226,73.8,15.6
Missing,905,09/09/2020,0.1,2,0,0
0-17,76136,10/09/2020,10.2,3,0,22.5
18-49,447876,10/09/2020,60,1004,7.2,43.5
50-64,141078,10/09/2020,18.9,2643,18.9,18.4
65+,80183,10/09/2020,10.7,10311,73.8,15.6
Missing,918,10/09/2020,0.1,2,0,0
0-17,76593,11/09/2020,10.2,3,0,22.5
18-49,450341,11/09/2020,60,1010,7.2,43.5
50-64,141798,11/09/2020,18.9,2671,19,18.4
65+,80630,11/09/2020,10.7,10396,73.8,15.6
Missing,936,11/09/2020,0.1,2,0,0
0-17,77187,12/09/2020,10.2,3,0,22.5
18-49,453134,12/09/2020,60,1022,7.2,43.5
50-64,142627,12/09/2020,18.9,2695,19,18.4
65+,81053,12/09/2020,10.7,10489,73.8,15.6
Missing,922,12/09/2020,0.1,1,0,0
0-17,77560,13/09/2020,10.2,3,0,22.5
18-49,454811,13/09/2020,60,1023,7.2,43.5
50-64,143153,13/09/2020,18.9,2693,19,18.4
65+,81333,13/09/2020,10.7,10491,73.8,15.6
Missing,921,13/09/2020,0.1,1,0,0
0-17,77859,14/09/2020,10.2,3,0,22.5
18-49,456173,14/09/2020,60,1023,7.2,43.5
50-64,143563,14/09/2020,18.9,2716,19,18.4
65+,81506,14/09/2020,10.7,10517,73.8,15.6
Missing,912,14/09/2020,0.1,1,0,0
0-17,78192,15/09/2020,10.2,3,0,22.5
18-49,457919,15/09/2020,60,1030,7.1,43.5
50-64,144116,15/09/2020,18.9,2742,19,18.4
65+,81822,15/09/2020,10.7,10635,73.8,15.6
Missing,914,15/09/2020,0.1,1,0,0
0-17,78506,16/09/2020,10.2,3,0,22.5
18-49,459903,16/09/2020,60,1038,7.2,43.5
50-64,144721,16/09/2020,18.9,2758,19,18.4
65+,82148,16/09/2020,10.7,10718,73.8,15.6
Missing,923,16/09/2020,0.1,0,0,0
0-17,78946,17/09/2020,10.3,3,0,22.5
18-49,462003,17/09/2020,60,1051,7.2,43.5
50-64,145439,17/09/2020,18.9,2783,19,18.4
65+,82521,17/09/2020,10.7,10790,73.8,15.6
Missing,922,17/09/2020,0.1,0,0,0
0-17,79502,18/09/2020,10.3,3,0,22.5
18-49,464501,18/09/2020,60,1070,7.2,43.5
50-64,146262,18/09/2020,18.9,2823,19.1,18.4
65+,82954,18/09/2020,10.7,10866,73.6,15.6
Missing,916,18/09/2020,0.1,0,0,0
0-17,80069,19/09/2020,10.3,2,0,22.5
18-49,466993,19/09/2020,60,1084,7.3,43.5
50-64,147049,19/09/2020,18.9,2838,19.1,18.4
65+,83379,19/09/2020,10.7,10924,73.6,15.6
Missing,910,19/09/2020,0.1,0,0,0
0-17,80508,20/09/2020,10.3,2,0,22.5
18-49,468969,20/09/2020,60,1081,7.3,43.5
50-64,147624,20/09/2020,18.9,2843,19.1,18.4
65+,83683,20/09/2020,10.7,10947,73.6,15.6
Missing,910,20/09/2020,0.1,0,0,0
0-17,80868,21/09/2020,10.3,2,0,22.5
18-49,470432,21/09/2020,60,1084,7.3,43.5
50-64,148177,21/09/2020,18.9,2846,19.1,18.4
65+,83936,21/09/2020,10.7,10968,73.6,15.6
Missing,911,21/09/2020,0.1,0,0,0
0-17,81177,22/09/2020,10.3,2,0,22.5
18-49,472300,22/09/2020,60,1096,7.3,43.5
50-64,148760,22/09/2020,18.9,2870,19.1,18.4
65+,84312,22/09/2020,10.7,11070,73.6,15.6
Missing,921,22/09/2020,0.1,0,0,0
0-17,81545,23/09/2020,10.3,2,0,22.5
18-49,474158,23/09/2020,60,1101,7.3,43.5
50-64,149356,23/09/2020,18.9,2904,19.2,18.4
65+,84659,23/09/2020,10.7,11147,73.6,15.6
Missing,922,23/09/2020,0.1,0,0,0
0-17,81942,24/09/2020,10.3,2,0,22.5
18-49,476199,24/09/2020,60,1109,7.3,43.5
50-64,149978,24/09/2020,18.9,2931,19.2,18.4
65+,85007,24/09/2020,10.7,11214,73.5,15.6
Missing,914,24/09/2020,0.1,0,0,0
0-17,82484,25/09/2020,10.3,2,0,22.5
18-49,478701,25/09/2020,60,1115,7.3,43.5
50-64,150729,25/09/2020,18.9,2953,19.2,18.4
65+,85434,25/09/2020,10.7,11291,73.5,15.6
Missing,889,25/09/2020,0.1,0,0,0
0-17,83024,26/09/2020,10.3,2,0,22.5
18-49,481120,26/09/2020,60,1120,7.3,43.5
50-64,151507,26/09/2020,18.9,2963,19.2,18.4
65+,85776,26/09/2020,10.7,11347,73.5,15.6
Missing,881,26/09/2020,0.1,0,0,0
0-17,83407,27/09/2020,10.4,2,0,22.5
18-49,482861,27/09/2020,60,1125,7.3,43.5
50-64,152059,27/09/2020,18.9,2962,19.2,18.4
65+,86053,27/09/2020,10.7,11362,73.5,15.6
Missing,883,27/09/2020,0.1,0,0,0
0-17,83695,28/09/2020,10.4,2,0,22.5
18-49,484115,28/09/2020,60,1125,7.3,43.5
50-64,152456,28/09/2020,18.9,2963,19.2,18.4
65+,86274,28/09/2020,10.7,11372,73.5,15.6
Missing,885,28/09/2020,0.1,0,0,0
0-17,84064,29/09/2020,10.4,2,0,22.5
18-49,485990,29/09/2020,60,1136,7.3,43.5
50-64,153030,29/09/2020,18.9,2993,19.1,18.4
65+,86652,29/09/2020,10.7,11526,73.6,15.6
Missing,889,29/09/2020,0.1,0,0,0
0-17,84468,30/09/2020,10.4,2,0,22.5
18-49,487779,30/09/2020,59.9,1140,7.2,43.5
50-64,153584,30/09/2020,18.9,3019,19.2,18.4
65+,86965,30/09/2020,10.7,11596,73.6,15.6
Missing,891,30/09/2020,0.1,0,0,0
0-17,84871,01/10/2020,10.4,2,0,22.5
18-49,489846,01/10/2020,59.9,1157,7.3,43.5
50-64,154299,01/10/2020,18.9,3053,19.2,18.4
65+,87371,01/10/2020,10.7,11706,73.5,15.6
Missing,890,01/10/2020,0.1,0,0,0
0-17,85246,02/10/2020,10.4,2,0,22.5
18-49,491142,02/10/2020,59.9,1153,7.2,43.5
50-64,154619,02/10/2020,18.9,3064,19.2,18.4
65+,87546,02/10/2020,10.7,11713,73.5,15.6
Missing,883,02/10/2020,0.1,0,0,0
0-17,85748,03/10/2020,10.4,2,0,22.5
18-49,493676,03/10/2020,59.9,1160,7.3,43.5
50-64,155398,03/10/2020,18.9,3074,19.2,18.4
65+,88023,03/10/2020,10.7,11763,73.5,15.6
Missing,884,03/10/2020,0.1,0,0,0
0-17,86137,04/10/2020,10.4,2,0,22.5
18-49,495458,04/10/2020,59.9,1162,7.3,43.5
50-64,156007,04/10/2020,18.9,3078,19.2,18.4
65+,88296,04/10/2020,10.7,11778,73.5,15.6
Missing,886,04/10/2020,0.1,0,0,0
0-17,86370,05/10/2020,10.4,2,0,22.5
18-49,496431,05/10/2020,59.9,1166,7.3,43.5
50-64,156312,05/10/2020,18.9,3085,19.2,18.4
65+,88464,05/10/2020,10.7,11793,73.5,15.6
Missing,884,05/10/2020,0.1,0,0,0
0-17,86720,06/10/2020,10.4,2,0,22.5
18-49,498012,06/10/2020,59.9,1167,7.2,43.5
50-64,156845,06/10/2020,18.9,3099,19.2,18.4
65+,88764,06/10/2020,10.7,11863,73.5,15.6
Missing,884,06/10/2020,0.1,0,0,0
0-17,87201,07/10/2020,10.4,2,0,22.5
18-49,500052,07/10/2020,59.9,1174,7.2,43.5
50-64,157546,07/10/2020,18.9,3116,19.2,18.4
65+,89114,07/10/2020,10.7,11933,73.5,15.6
Missing,887,07/10/2020,0.1,0,0,0
0-17,87657,08/10/2020,10.5,2,0,22.5
18-49,502291,08/10/2020,59.9,1180,7.2,43.5
50-64,158233,08/10/2020,18.9,3124,19.2,18.4
65+,89535,08/10/2020,10.7,11992,73.6,15.6
Missing,890,08/10/2020,0.1,0,0,0
0-17,88203,09/10/2020,10.5,2,0,22.5
18-49,504734,09/10/2020,59.9,1183,7.2,43.5
50-64,159028,09/10/2020,18.9,3139,19.2,18.4
65+,89927,09/10/2020,10.7,12056,73.6,15.6
Missing,884,09/10/2020,0.1,0,0,0
0-17,88691,10/10/2020,10.5,2,0,22.5
18-49,507025,10/10/2020,59.9,1188,7.2,43.5
50-64,159737,10/10/2020,18.9,3153,19.2,18.4
65+,90249,10/10/2020,10.7,12117,73.6,15.6
Missing,877,10/10/2020,0.1,0,0,0
0-17,89138,11/10/2020,10.5,2,0,22.5
18-49,509044,11/10/2020,59.9,1189,7.2,43.5
50-64,160393,11/10/2020,18.9,3157,19.2,18.4
65+,90571,11/10/2020,10.7,12122,73.6,15.6
Missing,882,11/10/2020,0.1,0,0,0
0-17,89498,12/10/2020,10.5,2,0,22.5
18-49,510413,12/10/2020,59.9,1189,7.2,43.5
50-64,160823,12/10/2020,18.9,3159,19.2,18.4
65+,90787,12/10/2020,10.7,12130,73.6,15.6
Missing,885,12/10/2020,0.1,0,0,0
0-17,89843,13/10/2020,10.5,2,0,22.5
18-49,511954,13/10/2020,59.9,1189,7.2,43.5
50-64,161329,13/10/2020,18.9,3166,19.2,18.4
65+,91051,13/10/2020,10.6,12165,73.6,15.6
Missing,895,13/10/2020,0.1,0,0,0
0-17,90259,14/10/2020,10.5,2,0,22.5
18-49,513932,14/10/2020,59.9,1197,7.2,43.5
50-64,161957,14/10/2020,18.9,3180,19.1,18.4
65+,91359,14/10/2020,10.6,12242,73.7,15.6
Missing,894,14/10/2020,0.1,0,0,0
0-17,90645,15/10/2020,10.5,2,0,22.5
18-49,515699,15/10/2020,59.9,1201,7.2,43.5
50-64,162544,15/10/2020,18.9,3202,19.2,18.4
65+,91697,15/10/2020,10.6,12306,73.6,15.6
Missing,891,15/10/2020,0.1,1,0,0
0-17,91051,16/10/2020,10.5,2,0,22.5
18-49,517420,16/10/2020,59.9,1207,7.2,43.5
50-64,163077,16/10/2020,18.9,3216,19.2,18.4
65+,92027,16/10/2020,10.6,12364,73.6,15.6
Missing,880,16/10/2020,0.1,1,0,0
0-17,91471,17/10/2020,10.5,2,0,22.5
18-49,519066,17/10/2020,59.8,1212,7.2,43.5
50-64,163593,17/10/2020,18.9,3238,19.2,18.4
65+,92326,17/10/2020,10.6,12430,73.6,15.6
Missing,861,17/10/2020,0.1,1,0,0
0-17,91935,18/10/2020,10.6,2,0,22.5
18-49,521159,18/10/2020,59.8,1212,7.2,43.5
50-64,164194,18/10/2020,18.9,3243,19.2,18.4
65+,92643,18/10/2020,10.6,12436,73.6,15.6
Missing,860,18/10/2020,0.1,1,0,0
0-17,92375,19/10/2020,10.6,2,0,22.5
18-49,523072,19/10/2020,59.8,1216,7.2,43.5
50-64,164817,19/10/2020,18.9,3244,19.2,18.4
65+,92952,19/10/2020,10.6,12445,73.6,15.6
Missing,861,19/10/2020,0.1,1,0,0
0-17,92864,20/10/2020,10.6,2,0,22.5
18-49,525174,20/10/2020,59.8,1218,7.2,43.5
50-64,165568,20/10/2020,18.9,3255,19.2,18.4
65+,93333,20/10/2020,10.6,12511,73.7,15.6
Missing,845,20/10/2020,0.1,1,0,0
0-17,93249,21/10/2020,10.6,2,0,22.5
18-49,526820,21/10/2020,59.8,1229,7.2,43.5
50-64,166162,21/10/2020,18.9,3274,19.1,18.4
65+,93662,21/10/2020,10.6,12617,73.7,15.6
Missing,831,21/10/2020,0.1,1,0,0
0-17,94030,22/10/2020,10.6,2,0,22.5
18-49,530359,22/10/2020,59.8,1229,7.2,43.5
50-64,167321,22/10/2020,18.9,3283,19.1,18.4
65+,94321,22/10/2020,10.6,12670,73.7,15.6
Missing,834,22/10/2020,0.1,1,0,0
0-17,94896,23/10/2020,10.6,2,0,22.5
18-49,533822,23/10/2020,59.8,1229,7.1,43.5
50-64,168370,23/10/2020,18.9,3290,19.1,18.4
65+,94882,23/10/2020,10.6,12709,73.8,15.6
Missing,840,23/10/2020,0.1,1,0,0
0-17,95603,24/10/2020,10.6,2,0,22.5
18-49,536903,24/10/2020,59.8,1234,7.1,43.5
50-64,169336,24/10/2020,18.9,3305,19.1,18.4
65+,95336,24/10/2020,10.6,12744,73.7,15.6
Missing,851,24/10/2020,0.1,1,0,0
0-17,95990,25/10/2020,10.7,2,0,22.5
18-49,538674,25/10/2020,59.8,1236,7.1,43.5
50-64,169913,25/10/2020,18.9,3305,19.1,18.4
65+,95584,25/10/2020,10.6,12754,73.7,15.6
Missing,849,25/10/2020,0.1,1,0,0
0-17,96360,26/10/2020,10.7,2,0,22.5
18-49,540531,26/10/2020,59.8,1236,7.1,43.5
50-64,170563,26/10/2020,18.9,3307,19.1,18.4
65+,95901,26/10/2020,10.6,12767,73.7,15.6
Missing,843,26/10/2020,0.1,1,0,0
0-17,96978,27/10/2020,10.7,2,0,22.5
18-49,543262,27/10/2020,59.8,1252,7.2,43.5
50-64,171333,27/10/2020,18.9,3332,19.1,18.4
65+,96305,27/10/2020,10.6,12842,73.7,15.6
Missing,835,27/10/2020,0.1,1,0,0
0-17,97497,28/10/2020,10.7,2,0,22.5
18-49,545660,28/10/2020,59.8,1257,7.2,43.5
50-64,172094,28/10/2020,18.9,3342,19.1,18.4
65+,96800,28/10/2020,10.6,12900,73.7,15.6
Missing,853,28/10/2020,0.1,1,0,0
0-17,97994,29/10/2020,10.7,2,0,22.5
18-49,547963,29/10/2020,59.8,1258,7.2,43.5
50-64,172862,29/10/2020,18.9,3349,19.1,18.4
65+,97247,29/10/2020,10.6,12936,73.7,15.6
Missing,852,29/10/2020,0.1,2,0,0
0-17,98615,30/10/2020,10.7,2,0,22.5
18-49,550862,30/10/2020,59.7,1270,7.2,43.5
50-64,173917,30/10/2020,18.9,3359,19.1,18.4
65+,97764,30/10/2020,10.6,12972,73.7,15.6
Missing,847,30/10/2020,0.1,2,0,0
0-17,99123,31/10/2020,10.7,2,0,22.5
18-49,553578,31/10/2020,59.7,1273,7.2,43.5
50-64,174737,31/10/2020,18.9,3365,19.1,18.4
65+,98240,31/10/2020,10.6,13020,73.7,15.6
Missing,856,31/10/2020,0.1,2,0,0
